2022-06-23 11:48:36.999 | DEBUG    | paddlespeech.s2t:<module>:81 - register user softmax to paddle, remove this when fixed!
2022-06-23 11:48:37.000 | DEBUG    | paddlespeech.s2t:<module>:85 - register user log_softmax to paddle, remove this when fixed!
2022-06-23 11:48:37.000 | DEBUG    | paddlespeech.s2t:<module>:89 - register user sigmoid to paddle, remove this when fixed!
2022-06-23 11:48:37.000 | DEBUG    | paddlespeech.s2t:<module>:93 - register user log_sigmoid to paddle, remove this when fixed!
2022-06-23 11:48:37.000 | DEBUG    | paddlespeech.s2t:<module>:97 - register user relu to paddle, remove this when fixed!
2022-06-23 11:48:37.000 | DEBUG    | paddlespeech.s2t:<module>:107 - override cat of paddle if exists or register, remove this when fixed!
2022-06-23 11:48:37.000 | DEBUG    | paddlespeech.s2t:<module>:129 - override long of paddle.Tensor if exists or register, remove this when fixed!
2022-06-23 11:48:37.001 | DEBUG    | paddlespeech.s2t:<module>:151 - override new_full of paddle.Tensor if exists or register, remove this when fixed!
2022-06-23 11:48:37.001 | DEBUG    | paddlespeech.s2t:<module>:167 - override eq of paddle.Tensor if exists or register, remove this when fixed!
2022-06-23 11:48:37.001 | DEBUG    | paddlespeech.s2t:<module>:174 - override eq of paddle if exists or register, remove this when fixed!
2022-06-23 11:48:37.001 | DEBUG    | paddlespeech.s2t:<module>:184 - override contiguous of paddle.Tensor if exists or register, remove this when fixed!
2022-06-23 11:48:37.001 | DEBUG    | paddlespeech.s2t:<module>:195 - register user view to paddle.Tensor, remove this when fixed!
2022-06-23 11:48:37.001 | DEBUG    | paddlespeech.s2t:<module>:206 - register user view_as to paddle.Tensor, remove this when fixed!
2022-06-23 11:48:37.002 | DEBUG    | paddlespeech.s2t:<module>:234 - register user masked_fill to paddle.Tensor, remove this when fixed!
2022-06-23 11:48:37.002 | DEBUG    | paddlespeech.s2t:<module>:253 - register user masked_fill_ to paddle.Tensor, remove this when fixed!
2022-06-23 11:48:37.002 | DEBUG    | paddlespeech.s2t:<module>:277 - register user repeat to paddle.Tensor, remove this when fixed!
2022-06-23 11:48:37.002 | DEBUG    | paddlespeech.s2t:<module>:283 - register user softmax to paddle.Tensor, remove this when fixed!
2022-06-23 11:48:37.002 | DEBUG    | paddlespeech.s2t:<module>:288 - register user sigmoid to paddle.Tensor, remove this when fixed!
2022-06-23 11:48:37.002 | DEBUG    | paddlespeech.s2t:<module>:292 - register user relu to paddle.Tensor, remove this when fixed!
2022-06-23 11:48:37.002 | DEBUG    | paddlespeech.s2t:<module>:302 - register user type_as to paddle.Tensor, remove this when fixed!
2022-06-23 11:48:37.003 | DEBUG    | paddlespeech.s2t:<module>:318 - register user to to paddle.Tensor, remove this when fixed!
2022-06-23 11:48:37.003 | DEBUG    | paddlespeech.s2t:<module>:329 - register user float to paddle.Tensor, remove this when fixed!
2022-06-23 11:48:37.003 | DEBUG    | paddlespeech.s2t:<module>:339 - register user int to paddle.Tensor, remove this when fixed!
