2022-06-27 11:49:35.708 | DEBUG    | paddlespeech.s2t:<module>:83 - register user softmax to paddle, remove this when fixed!
2022-06-27 11:49:35.708 | DEBUG    | paddlespeech.s2t:<module>:87 - register user log_softmax to paddle, remove this when fixed!
2022-06-27 11:49:35.708 | DEBUG    | paddlespeech.s2t:<module>:91 - register user sigmoid to paddle, remove this when fixed!
2022-06-27 11:49:35.709 | DEBUG    | paddlespeech.s2t:<module>:95 - register user log_sigmoid to paddle, remove this when fixed!
2022-06-27 11:49:35.709 | DEBUG    | paddlespeech.s2t:<module>:99 - register user relu to paddle, remove this when fixed!
2022-06-27 11:49:35.709 | DEBUG    | paddlespeech.s2t:<module>:109 - override cat of paddle if exists or register, remove this when fixed!
2022-06-27 11:49:35.709 | DEBUG    | paddlespeech.s2t:<module>:131 - override long of paddle.Tensor if exists or register, remove this when fixed!
2022-06-27 11:49:35.709 | DEBUG    | paddlespeech.s2t:<module>:153 - override new_full of paddle.Tensor if exists or register, remove this when fixed!
2022-06-27 11:49:35.710 | DEBUG    | paddlespeech.s2t:<module>:169 - override eq of paddle.Tensor if exists or register, remove this when fixed!
2022-06-27 11:49:35.710 | DEBUG    | paddlespeech.s2t:<module>:176 - override eq of paddle if exists or register, remove this when fixed!
2022-06-27 11:49:35.710 | DEBUG    | paddlespeech.s2t:<module>:186 - override contiguous of paddle.Tensor if exists or register, remove this when fixed!
2022-06-27 11:49:35.710 | DEBUG    | paddlespeech.s2t:<module>:197 - register user view to paddle.Tensor, remove this when fixed!
2022-06-27 11:49:35.710 | DEBUG    | paddlespeech.s2t:<module>:208 - register user view_as to paddle.Tensor, remove this when fixed!
2022-06-27 11:49:35.710 | DEBUG    | paddlespeech.s2t:<module>:236 - register user masked_fill to paddle.Tensor, remove this when fixed!
2022-06-27 11:49:35.710 | DEBUG    | paddlespeech.s2t:<module>:255 - register user masked_fill_ to paddle.Tensor, remove this when fixed!
2022-06-27 11:49:35.710 | DEBUG    | paddlespeech.s2t:<module>:279 - register user repeat to paddle.Tensor, remove this when fixed!
2022-06-27 11:49:35.710 | DEBUG    | paddlespeech.s2t:<module>:285 - register user softmax to paddle.Tensor, remove this when fixed!
2022-06-27 11:49:35.711 | DEBUG    | paddlespeech.s2t:<module>:290 - register user sigmoid to paddle.Tensor, remove this when fixed!
2022-06-27 11:49:35.711 | DEBUG    | paddlespeech.s2t:<module>:294 - register user relu to paddle.Tensor, remove this when fixed!
2022-06-27 11:49:35.711 | DEBUG    | paddlespeech.s2t:<module>:304 - register user type_as to paddle.Tensor, remove this when fixed!
2022-06-27 11:49:35.711 | DEBUG    | paddlespeech.s2t:<module>:320 - register user to to paddle.Tensor, remove this when fixed!
2022-06-27 11:49:35.711 | DEBUG    | paddlespeech.s2t:<module>:331 - register user float to paddle.Tensor, remove this when fixed!
2022-06-27 11:49:35.711 | DEBUG    | paddlespeech.s2t:<module>:341 - register user int to paddle.Tensor, remove this when fixed!
